l_shoulder_z,elbow_z,l_shoulder_y,r_shoulder_y,elbow_real_z,hip_real_z,label
-0.6601823568344116,-0.17302276194095612,0.2548229694366455,0.27386361360549927,-0.047470927238464355,0.008004188537597656,4
-0.6712239384651184,-0.3830377757549286,0.2567014992237091,0.2803505063056946,-0.06604007631540298,0.007667307276278734,4
-0.7843876481056213,-0.632720410823822,0.2600577771663666,0.28176581859588623,-0.09366920590400696,-0.0013423148775473237,4
-0.8479329347610474,-0.6610690355300903,0.26153191924095154,0.28463807702064514,-0.10010243952274323,-0.008888505399227142,4
-0.8554188013076782,-0.7535266876220703,0.26374343037605286,0.2873811721801758,-0.10663322359323502,-0.016653496772050858,4
-0.8382019996643066,-0.8567954897880554,0.26476141810417175,0.2908092439174652,-0.11809811741113663,-0.018029503524303436,4
-0.842717707157135,-0.8462182879447937,0.2655279040336609,0.29571738839149475,-0.11943653970956802,-0.019837893545627594,4
-0.8374583721160889,-0.8094017505645752,0.26997411251068115,0.2988731563091278,-0.12347837537527084,-0.019469039514660835,4
-0.8377493619918823,-0.7834305167198181,0.2793745994567871,0.3027225732803345,-0.12566910684108734,-0.018716424703598022,4
-0.6763314604759216,-0.5499264597892761,0.2912853956222534,0.3082635700702667,-0.12142264097929001,-0.014805452898144722,4
-0.6284148097038269,-0.5237448215484619,0.29005157947540283,0.31351083517074585,-0.1197550892829895,-0.013863718137145042,4
-0.6522334814071655,-0.5363224148750305,0.29467499256134033,0.32111766934394836,-0.12145710736513138,-0.013459590263664722,4
-0.5973984599113464,-0.5026516318321228,0.30954602360725403,0.32987838983535767,-0.12061110883951187,-0.012787173502147198,4
-0.5085427761077881,-0.44350171089172363,0.3142664134502411,0.3343829810619354,-0.12018787860870361,-0.011659380979835987,4
-0.3952943980693817,-0.3123062551021576,0.3232594132423401,0.34167349338531494,-0.11404820531606674,-0.01146628987044096,4
-0.3869299292564392,-0.3128613233566284,0.33046579360961914,0.35607844591140747,-0.10365226119756699,-0.011251161806285381,1
-0.3147689402103424,-0.2743130028247833,0.335528701543808,0.35879430174827576,-0.08923482894897461,-0.007098203990608454,1
